index,titulo,resumo,URL
23,"Gari, onça, Cleópatra: relembre as fantasias marcantes de Paolla Oliveira","Ela foi rainha de bateria da Acadêmicos do Grande Rio diversas vezes nos últimos 15 anos, vestindo roupas de gari a Cleópatra. A fantasia de onça que ela usou no ano passado foi um dos personagens mais memoráveis do carnaval.",https://g1.globo.com/fantastico/noticia/2025/02/20/paolla-oliveira-se-despede-rainha-da-grande-rio-foi-gari-onca-cleopatra-e-mais-relembre.ghtml
24,Justiça anula absolvição de homem acusado de agredir cães e irmã de Zanin em SP,"Câmera de segurança registrou momento em que Rogério Cardoso Júnior desferiu chutes contra Caroline Zanin e os cachorros dela no dia 16 de outubro de 2023, na Zona Oeste de SP. Rogério foi indiciado pela Polícia Civil e denunciado pelo Ministério Público, mas juíza havia considerado em 1ª instância que ele agiu para se defender.",https://g1.globo.com/sp/sao-paulo/noticia/2025/02/20/justica-anula-absolvicao-de-homem-acusado-de-agredir-caes-e-irma-de-zanin-em-sp.ghtml
25,Delação de Cid: defesa de Bolsonaro vai ter que repensar estratégia de pedir anulação,"Análise detalhada das 200 páginas da denúncia da PGR revelam que, mesmo sem o depoimento do ex-ajudante de ordens, ainda há uma abundância de provas e indícios de crimes.",https://g1.globo.com/politica/blog/octavio-guedes/post/2025/02/20/delacao-de-cid-defesa-de-bolsonaro-vai-ter-que-repensar-estrategia-de-pedir-anulacao.ghtml
26,Franquia James Bond passa a ser controlada criativamente pela Amazon,Michael G. Wilson e Barbara Broccoli cuidavam da série desde 1995. Valores do acordo não foram divulgados.,https://g1.globo.com/pop-arte/cinema/noticia/2025/02/20/franquia-james-bond-passa-a-ser-controlada-criativamente-pela-amazon.ghtml
27,Oruam é detido na Barra da Tijuca e levado para delegacia no Rio,Vídeo mostra rapper sendo colocado em viatura na orla da Barra da Tijuca. Oruam foi autuado em flagrante por direção perigosa e foi arbitrada fiança - o valor não foi divulgado.,https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/02/20/oruam-levado-para-delegacia-no-rj.ghtml
28,Cid leva as mãos à cabeça ao ter 2ª prisão decretada; VÍDEO,"Nesta quinta-feira (20), Moraes tornou públicos os vídeos e áudios da delação de Mauro Cid.",https://g1.globo.com/politica/blog/andreia-sadi/post/2025/02/20/ao-ter-prisao-decretada-video-mostra-que-mauro-cid-levou-as-maos-a-cabeca.ghtml
29,"Trem do ramal Guapimirim descarrila e tomba em Magé, RJ; calor de 71°C dilatou trilhos","Segundo a Supervia, a operação foi suspensa por volta das 15h por conta da ocorrência. Concessionária disse que incidente foi causado pela alta temperatura nos trilhos, que chegou a 71°C, dilatando os trilhos.",https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/02/20/trem-do-ramal-guapimirim-descarrila-e-tomba-em-mage-rj.ghtml
30,"Papa Francisco internado: 'Condições clínicas melhoraram ligeiramente', diz Vaticano","Segundo comunicado, o pontífice de 88 anos está sem febre e estável. Francisco está internado desde o dia 14 de fevereiro e trata uma pneumonia bilateral.",https://g1.globo.com/mundo/noticia/2025/02/20/papa-francisco-esta-melhorando-diz-vaticano.ghtml
31,Polícia procura suspeito de matar enteado de 4 anos em Sepetiba,"Com mandado de prisão, Emmanuel Pereira da Cruz é considerado foragido. Corpo da criança foi encontrado em avançado estado de decomposição no dia 15 de fevereiro.",https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/02/20/policia-procura-suspeito-morte-enteado.ghtml
32,Avião da Latam retorna ao Galeão após colisão com pássaro; bico da aeronave ficou destruído,Incidente é conhecido como 'bird strike' na aviação. Ninguém ficou ferido. Voo foi cancelado.,https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/02/20/aviao-da-latam-galeao-colisao-com-passaro.ghtml
33,Prazo para carimbar data de validade em cascas de ovos vendidos a granel é adiada para setembro,"Ministério da Agricultura previa mudança a partir de março. A medida não é válida para ovos que são vendidos em estojos ou em bandejas plastificadas, com data de validade no rótulo.",https://g1.globo.com/economia/agronegocios/noticia/2025/02/20/prazo-para-carimbar-data-de-validade-em-cascas-de-ovos-vendidos-a-granel-e-adiada-para-setembro.ghtml
34,Advogado de Bolsonaro diz que vai pedir anulação da delação de Mauro Cid,"""O surpreendente é que eu tenha que pedir a anulação"", diz Celso Vilardi. Trechos das falas de Cid foram usados em denúncia da PGR contra Bolsonaro por tentativa de golpe de estado.",https://g1.globo.com/politica/blog/andreia-sadi/post/2025/02/20/advogado-de-bolsonaro-diz-que-vai-pedir-anulacao-de-mauro-cid.ghtml
35,Bolsonaro pede 83 dias para apresentar defesa na denúncia do golpe; prazo é de 15,Defesa sustenta que ainda não teve acesso completo às provas utilizadas na denúncia. Procuradoria-Geral da República denunciou o ex-presidente e mais 33 pessoas por tentativa de golpe de Estado.,https://g1.globo.com/politica/noticia/2025/02/20/bolsonaro-pede-83-dias-para-apresentar-defesa-na-denuncia-do-golpe-prazo-e-de-15.ghtml
36,"VIDEO: Bolsonaro queria que relatório da Defesa sobre urnas 'escrevesse que tivesse fraude', diz Cid","Ministro da Defesa de Bolsonaro teve que adaptar relatório sobre fraude nas urnas após pressão do ex-presidente, segundo Mauro Cid.",https://g1.globo.com/politica/noticia/2025/02/20/video-bolsonaro-queria-que-relatorio-da-defesa-sobre-urnas-escrevesse-que-tivesse-fraude-diz-cid.ghtml
37,Advogado de Bolsonaro quer que julgamento por tentativa de golpe seja no plenário do STF,Ex-presidente Jair Bolsonaro foi denunciado pela Procuradoria-Geral da República junto com outras 33 pessoas por tentativa de golpe de Estado.,https://g1.globo.com/politica/blog/andreia-sadi/post/2025/02/20/celso-vilardi-entrevista-estudio-i.ghtml
38,Chanceler critica proposta de Trump de retirar palestinos de Gaza e defende saída 'completa' de tropas israelenses,Mauro Vieira deu declarações em encontro do G20. Ministro também disse que só haverá paz entre Rússia e Ucrânia se todas as partes forem ouvidas em negociações.,https://g1.globo.com/politica/noticia/2025/02/20/chanceler-critica-proposta-de-trump-de-retirar-palestinos-de-gaza-e-defende-saida-completa-de-tropas-israelenses.ghtml
39,Servente de pedreiro viraliza ao relatar abordagem violenta da PM em SP: 'tomei joelhada e fui chamado de vagabundo por ter tatuagem no rosto',"Vídeo publicado por Lincoln Vicente de Moura, de 34 anos, teve mais de 5,8 milhões de visualizações no TikTok e mais de 1 milhão no Instagram. Ele disse que não quer denunciar o caso por medo de represálias. Procurada, a Secretaria da Segurança e o Palácio dos Bandeirantes não deram retorno.",https://g1.globo.com/sp/sao-paulo/noticia/2025/02/20/servente-de-pedreiro-viraliza-ao-relatar-abordagem-violenta-da-pm-em-sp-tomei-joelhada-e-fui-chamado-de-vagabundo-por-ter-tatuagem-no-rosto.ghtml
40,VÍDEO: veja momento em que Cid chora ao falar sobre áudio da filha que foi divulgado pela imprensa,Ex-ajudante de ordens de Jair Bolsonaro se queixa e diz que foi o 'único' a ter familiares expostos ao longo das investigações. Gravações foram divulgadas pelo STF.,https://g1.globo.com/politica/noticia/2025/02/20/video-veja-momento-em-que-mauro-cid-chora-durante-depoimento-de-delacao-premiada.ghtml
41,Fies 2025: MEC nega que tenha havido erro no sistema de pré-seleção do programa; cronograma segue inalterado,"Entre os problemas alegados pelos candidatos, estava uma falha sobre inscrições não concluídas em edição anterior do programa. Pasta diz ter verificado as situações e descartado ocorrências de erro.",https://g1.globo.com/educacao/noticia/2025/02/20/fies-2025-mec-nega-erro-no-sistema.ghtml
42,Por que o preço dos ovos nos EUA disparou e até os supermercados estão racionando suas compras,Encontrar ovos nos Estados Unidos está se tornando mais difícil e mais caro; entenda os motivos.,https://g1.globo.com/economia/agronegocios/noticia/2025/02/20/por-que-o-preco-dos-ovos-nos-eua-disparou-e-ate-os-supermercados-estao-racionando-suas-compras.ghtml
